title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo For Sale,328 W 200 S APT 602,SALT LAKE CITY,UT,84101,"$649,900 ","2 bds , 3 ba , 1,862 sqft",Marval Realty Group,https://www.zillow.com/homedetails/328-W-200-S-APT-602-Salt-Lake-City-UT-84101/83823614_zpid/
Condo For Sale,5 S 500 W UNIT 914,SALT LAKE CITY,UT,84101,"$399,000 ","2 bds , 2 ba , 1,160 sqft",,https://www.zillow.com/homedetails/5-S-500-W-UNIT-914-Salt-Lake-City-UT-84101/65733926_zpid/
Condo For Sale,328 W 200 S APT 608,SALT LAKE CITY,UT,84101,"$654,900 ","2 bds , 2 ba , 1,813 sqft",Realtypath LLC - Prestige,https://www.zillow.com/homedetails/328-W-200-S-APT-608-Salt-Lake-City-UT-84101/83824171_zpid/
Condo For Sale,327 W 200 S APT 301,SALT LAKE CITY,UT,84101,"$759,500 ","3 bds , 3 ba , 1,900 sqft",Intermountain Properties,https://www.zillow.com/homedetails/327-W-200-S-APT-301-Salt-Lake-City-UT-84101/12735353_zpid/
Condo For Sale,5 S 500 W UNIT 910,SALT LAKE CITY,UT,84101,"$725,000 ","3 bds , 2 ba , 1,460 sqft",,https://www.zillow.com/homedetails/5-S-500-W-UNIT-910-Salt-Lake-City-UT-84101/65733947_zpid/
House For Sale,803 S 1100 E,SALT LAKE CITY,UT,84102,"$399,000 ","3 bds , 2 ba , 2,294 sqft",Coldwell Banker Residential Brokerage - Salt Lake - Sugar House,https://www.zillow.com/homedetails/803-S-1100-E-Salt-Lake-City-UT-84102/12758775_zpid/
Condo For Sale,515 S 1000 E APT 1102,SALT LAKE CITY,UT,84102,"$450,000 ","3 bds , 2 ba , 2,219 sqft",,https://www.zillow.com/homedetails/515-S-1000-E-APT-1102-Salt-Lake-City-UT-84102/12755159_zpid/
House For Sale,269 S 1100 E,SALT LAKE CITY,UT,84102,"$495,000 ","6 bds , 3 ba , 2,118 sqft",Wolfnest Real Estate,https://www.zillow.com/homedetails/269-S-1100-E-Salt-Lake-City-UT-84102/83816262_zpid/
Condo For Sale,777 E South Temple APT 13D,Salt Lake City,UT,84102,"$447,700 ","3 bds , 3 ba , 1,512 sqft",Equity Real Estate - Solid,https://www.zillow.com/homedetails/777-E-South-Temple-APT-13D-Salt-Lake-City-UT-84102/12721038_zpid/
House For Sale,354 S 900 E,SALT LAKE CITY,UT,84102,"$359,000 ","3 bds , 3 ba , 1,606 sqft",,https://www.zillow.com/homedetails/354-S-900-E-Salt-Lake-City-UT-84102/12754185_zpid/
House For Sale,1073 E 600 S,SALT LAKE CITY,UT,84102,"$460,000 ","3 bds , 2 ba , 2,428 sqft",Summit Sotheby's International Realty,https://www.zillow.com/homedetails/1073-E-600-S-Salt-Lake-City-UT-84102/12755201_zpid/
Condo For Sale,777 E South Temple APT 9E,Salt Lake City,UT,84102,"$334,000 ","2 bds , 2 ba , 1,132 sqft",Mountain Land Realty North Salt Lake Inc.,https://www.zillow.com/homedetails/777-E-South-Temple-APT-9E-Salt-Lake-City-UT-84102/12721006_zpid/
Condo For Sale,23 S 800 E # 10,SALT LAKE CITY,UT,84102,"$260,000 ","2 bds , 1 ba , 922 sqft",Equity Real Estate - Advantage,https://www.zillow.com/homedetails/23-S-800-E-10-Salt-Lake-City-UT-84102/61167530_zpid/
House For Sale,433 S Fletcher Ct,SALT LAKE CITY,UT,84102,"$319,000 ","3 bds , 2 ba , 2,067 sqft",CENTURY 21 Everest Realty Group,https://www.zillow.com/homedetails/433-S-Fletcher-Ct-Salt-Lake-City-UT-84102/12754230_zpid/
Apartment For Sale,265 S 700 E,Salt Lake City,UT,84102,"$300,000 ","2 bds , 2 ba , 1,008 sqft",,https://www.zillow.com/homedetails/265-S-700-E-Salt-Lake-City-UT-84102/2090527646_zpid/
Condo For Sale,531 S 900 E APT C10,SALT LAKE CITY,UT,84102,"$249,900 ","2 bds , 2 ba , 850 sqft",Plumb & Company,https://www.zillow.com/homedetails/531-S-900-E-APT-C10-Salt-Lake-City-UT-84102/52275206_zpid/
For Sale by Owner,845 E 100 S APT 305,SALT LAKE CITY,UT,84102,"$259,900 ","2 bds , 2 ba , 1,200 sqft",,https://www.zillow.com/homedetails/845-E-100-S-APT-305-Salt-Lake-City-UT-84102/12753101_zpid/
