zpid,title,address,city,state,postal_code,price,facts and features,url,beds,baths,sqft,neighborhood,region,price_per_sqft,size_type
2091210070,Lot/Land For Sale,45 S 600 W,SALT LAKE CITY,UT,84101,2400000.0,0.90 ac lot,https://www.zillow.com/homedetails/45-S-600-W-Salt-Lake-City-UT-84101/2091210070_zpid/,,,,Downtown SLC,Downtown-SLC,,medium
2091464590,Lot/Land For Sale,571 W 400 S,SALT LAKE CITY,UT,84101,1300000.0,0.94 ac lot,https://www.zillow.com/homedetails/571-W-400-S-Salt-Lake-City-UT-84101/2091464590_zpid/,,,,Downtown SLC,Downtown-SLC,,medium
111373786,Condo For Sale,55 W South Temple UNIT 204,SALT LAKE CITY,UT,84101,568000.0,"1 bd , 1 ba , 1,131 sqft",https://www.zillow.com/homedetails/55-W-South-Temple-UNIT-204-Salt-Lake-City-UT-84101/111373786_zpid/,1.0,1.0,1131.0,Downtown SLC,Downtown-SLC,502.210433244916,small
2112991411,Condo For Sale,44 W Broadway APT 2502,SALT LAKE CITY,UT,84101,979000.0,"2 bds , 2.5 ba , 3,000 sqft",https://www.zillow.com/homedetails/44-W-Broadway-APT-2502-Salt-Lake-City-UT-84101/2112991411_zpid/,2.0,2.5,3000.0,Downtown SLC,Downtown-SLC,326.3333333333333,large
118554475,Condo For Sale,99 W South Temple UNIT 1604,SALT LAKE CITY,UT,84101,765000.0,"2 bds , 2 ba , 1,536 sqft",https://www.zillow.com/homedetails/99-W-South-Temple-UNIT-1604-Salt-Lake-City-UT-84101/118554475_zpid/,2.0,2.0,1536.0,Downtown SLC,Downtown-SLC,498.046875,medium
83823614,Condo For Sale,328 W 200 S APT 602,SALT LAKE CITY,UT,84101,649900.0,"2 bds , 3 ba , 1,862 sqft",https://www.zillow.com/homedetails/328-W-200-S-APT-602-Salt-Lake-City-UT-84101/83823614_zpid/,2.0,3.0,1862.0,Downtown SLC,Downtown-SLC,349.0332975295381,medium
65733926,Condo For Sale,5 S 500 W UNIT 914,SALT LAKE CITY,UT,84101,399000.0,"2 bds , 2 ba , 1,160 sqft",https://www.zillow.com/homedetails/5-S-500-W-UNIT-914-Salt-Lake-City-UT-84101/65733926_zpid/,2.0,2.0,1160.0,Downtown SLC,Downtown-SLC,343.9655172413793,small
83824171,Condo For Sale,328 W 200 S APT 608,SALT LAKE CITY,UT,84101,654900.0,"2 bds , 2 ba , 1,813 sqft",https://www.zillow.com/homedetails/328-W-200-S-APT-608-Salt-Lake-City-UT-84101/83824171_zpid/,2.0,2.0,1813.0,Downtown SLC,Downtown-SLC,361.2244897959184,medium
12735353,Condo For Sale,327 W 200 S APT 301,SALT LAKE CITY,UT,84101,759500.0,"3 bds , 3 ba , 1,900 sqft",https://www.zillow.com/homedetails/327-W-200-S-APT-301-Salt-Lake-City-UT-84101/12735353_zpid/,3.0,3.0,1900.0,Downtown SLC,Downtown-SLC,399.7368421052632,medium
65733947,Condo For Sale,5 S 500 W UNIT 910,SALT LAKE CITY,UT,84101,725000.0,"3 bds , 2 ba , 1,460 sqft",https://www.zillow.com/homedetails/5-S-500-W-UNIT-910-Salt-Lake-City-UT-84101/65733947_zpid/,3.0,2.0,1460.0,Downtown SLC,Downtown-SLC,496.5753424657534,medium
12758775,House For Sale,803 S 1100 E,SALT LAKE CITY,UT,84102,399000.0,"3 bds , 2 ba , 2,294 sqft",https://www.zillow.com/homedetails/803-S-1100-E-Salt-Lake-City-UT-84102/12758775_zpid/,3.0,2.0,2294.0,Downtown SLC,Downtown-SLC,173.93199651264166,medium
12755159,Condo For Sale,515 S 1000 E APT 1102,SALT LAKE CITY,UT,84102,450000.0,"3 bds , 2 ba , 2,219 sqft",https://www.zillow.com/homedetails/515-S-1000-E-APT-1102-Salt-Lake-City-UT-84102/12755159_zpid/,3.0,2.0,2219.0,Downtown SLC,Downtown-SLC,202.79405137449302,medium
83816262,House For Sale,269 S 1100 E,SALT LAKE CITY,UT,84102,495000.0,"6 bds , 3 ba , 2,118 sqft",https://www.zillow.com/homedetails/269-S-1100-E-Salt-Lake-City-UT-84102/83816262_zpid/,6.0,3.0,2118.0,Downtown SLC,Downtown-SLC,233.71104815864024,medium
12721038,Condo For Sale,777 E South Temple APT 13D,SALT LAKE CITY,UT,84102,447700.0,"3 bds , 3 ba , 1,512 sqft",https://www.zillow.com/homedetails/777-E-South-Temple-APT-13D-Salt-Lake-City-UT-84102/12721038_zpid/,3.0,3.0,1512.0,Downtown SLC,Downtown-SLC,296.0978835978836,medium
